ID,Course Title,Course Length,Description,Image URL
2012200,Talend DI + TMC + AWS - Zero to Hero,COURSE • 9 hrs 50 mins,"Talend is an Open Source/Enterprise ETL Tool, which can be used by Small to Large scale companies to perform Extract Transform and Load their data ...",https://img-c.udemycdn.com/course/480x270/5048014_4e8e_4.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImEzOTU5YzUxZmRlMThhM2QyNjIxMGVkMjA5OWQwMjZkIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiJkYzA2YjdjYTQ1MWViYTI5MWU3YmI4ZmFhM2ZhZmUzNGIxM2FmNGIwIiwiZXhwIjoxNzA3NTgyMTE1LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzE1LCJjaWQiOiI1MjUifQ.r681K2HY2R2EWKvIqiBLzbXxCkpVJ9lryKAy6mr9GaU
2012201,AppArmor - Linux Security,COURSE • 38 mins,In this course you will learn how to use AppArmor.,https://img-c.udemycdn.com/course/480x270/2325250_fbdf_3.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjFhZWRmMzUxOTIzODNkMDQyMWNjNWJmMjNjYjFjMmRjIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiI1NjllZGVkMTZjYTg3Njk5NmQ0OGE2YWZhOGQ3ZDlkNDIwYjQ2YmUzIiwiZXhwIjoxNzA3NTgyMTIzLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzIzLCJjaWQiOiI1MjUifQ.qSGTssVvZXS7rRVEK5QTi2zTJGqJ97XXbzgks95rIbM
2012202,How to fix Microsoft Power Apps delegation warning,COURSE • 3 hrs 9 mins,"If you have worked with PowerApps and tried connecting your app to any data source (SharePoint, Dataverse, SQL Server or salesforce) you have defin...",https://img-c.udemycdn.com/course/480x270/5026562_626f_2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImNhYTU3YjNmYzczYjZjMWQxYzBmMWI5YTMwZTZmNDk2IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiI5ZWFlYzRmNGYwYTBjNGYxMDQxOTcwOGJkZWM4ZGJhMDFhM2I3ZTAwIiwiZXhwIjoxNzA3NTgyMTMwLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzMwLCJjaWQiOiI1MjUifQ.NWFieYRzojemhmaltbMg5KDZV1wB57WHo1i2jYugwG0
2012204,White Paper Copywriting With the B2B Writing Institute,COURSE • 1 hr 7 mins,"WANT TO FINALLY UNDERSTAND THE WHOLE ""WHITE PAPER"" THING?",https://img-c.udemycdn.com/course/480x270/5201534_7aac_2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6Ijk2Njk0MDViYTg3ZWY5MjA5NWM3OGRlMDQzYmE1MDQxIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiI0MjM0MDMzNjg3Nzk3MTgyMmNhODlmZDk1YzczMjEzZDRmMjU3ZGRiIiwiZXhwIjoxNzA3NTgyMTQ1LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzQ1LCJjaWQiOiI1MjUifQ.ubUS-E3bt-2xsNKU3e96hQKg-7noiPSi3lrvHH1HEuw
2012205,Azure - Cloud Adoption Framework and The Landing Zones,COURSE • 1 hr 23 mins,The Cloud Adoption Framework (CAF) is a Microsoft framework designed to help organizations plan and implement their cloud adoption journey. The CAF...,https://img-c.udemycdn.com/course/480x270/5187020_a2c2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6Ijc2NWYxOTEyNTBhZmY1OTI1OWUyODcxNGNiODM3ZmU0IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIxOGU0N2JkODg0OGU4MmY3MTU4ZTkxMmIwNmU5Mzc5NWVkOGZmZWI2IiwiZXhwIjoxNzA3NTgyMTUxLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzUxLCJjaWQiOiI1MjUifQ.cov5FKll_J_9p6-WsDYF-5KRpJb6AEO2Jo7DHXECuLU
2012206,Tableau for HR: HR Analytics and Visualization with Tableau,COURSE • 9 hrs 22 mins,"If you are an HR professional seeking to elevate your skills and unlock the power of your data, this course is for you. Are you tired of struggling...",https://img-c.udemycdn.com/course/480x270/5174828_5acf_3.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjM2ZWVhODY4ZGU5MzdmZTk1NGMxOWQ3M2E0MzRhNmI0IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIxNDQxOTg4YWRkZDA3ZTcxNTJkOTFhNjc1NDQ1NzdkZGE0ODUxMTFkIiwiZXhwIjoxNzA3NTgyMTU0LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzU0LCJjaWQiOiI1MjUifQ.oxHTwrCgZkPrC34f2vxzNGoPwaysumjyKtQZQOt5aLQ
2012207,Practice Tests - Lean Six Sigma White Belt,COURSE,Lean Six Sigma is a business strategy that relies on disciplined data-driven methods and processes. To understand the importance of Six Sigma and p...,https://img-c.udemycdn.com/course/480x270/5139972_535c_2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjUyNzJlNDM4YmQzYTA5NzJkZmNiOGQ3ZWYwNjY3YjUxIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiJhMDYxZWI1MTI4NjVlZTVjZDUyMTY5N2ZhMTUwOTg0Zjc5ZjYzMzI4IiwiZXhwIjoxNzA3NTgyMTYwLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzYwLCJjaWQiOiI1MjUifQ.a7moINuQWp7o5-8UlabY4fwyHulT9o0JXoelfS6qDKk
2012208,Building a Reminders App Clone with SwiftUI & Core Data,COURSE • 4 hrs 26 mins,"Learn to build your own Apple Reminders app clone using the power of SwiftUI and Core Data. In this course, you'll gain a solid understanding of ho...",https://img-c.udemycdn.com/course/480x270/5097736_ffed_2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6IjViNDgwM2I2ZTdmZWRkZDZkZjE2NDU3ZDA3ZjhlMWU3IiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiIyNjAxZDFmZjBmYTkzNDY1NWE3M2VhMzEwYzQ0MjE2YmNjNGI1NjVjIiwiZXhwIjoxNzA3NTgyMTY2LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzY2LCJjaWQiOiI1MjUifQ.8GNhEsDBxQvDuje9oiFODGiItB74SY78ssUtedLXOow
2012209,Collibra Data Quality - quick intro for absolute beginners,COURSE • 2 hrs 16 mins,Learn what you can expect from Collibra Data Quality quickly!,https://img-c.udemycdn.com/course/480x270/5068120_a48f_2.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImYzYmVmNDY0MmJiN2JiNmY0MjRmOTY1Y2IxMDE5N2JlIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiI3YmMwMWQ0MmZiNmQxY2UwYzJiMmZiMDVkYTBmNWI1MDIzZTM4NjdlIiwiZXhwIjoxNzA3NTgyMTcwLCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3MzcwLCJjaWQiOiI1MjUifQ.YyNVJXdh1D-FWsTJFmhgCH1TjXJ1bXoXuaF7JO0VxaI
2012210,Microsoft Excel and Google Sheets for Data Analysis,COURSE • 11 hrs 1 min,"If you are looking to up your data analysis game and streamline your work with spreadsheets, then this course is for you. Do you struggle with orga...",https://img-c.udemycdn.com/course/480x270/5024258_39c9.jpg?cp_oauth_jwt=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJwIjoidXJsIiwicmFuZCI6ImQ5YjFiZjdhM2NhNTY5MWFiNmE5NGY0MmExYzk4OTMyIiwidiI6IjEiLCJvcmlnaW5hbFVybEhhc2giOiJkOWNiMzg5NTJiNTIyOGEyNmIxNzMyODI5NTQxZjkwZDFjNDFmNmM4IiwiZXhwIjoxNzA3NTgyMTc1LCJyaWQiOiI3NjUyMjM0IiwiaWF0IjoxNzA2OTc3Mzc1LCJjaWQiOiI1MjUifQ.xylG4Sh4bJbUbHwSpxpyZr8rtoCfbN89jCQCtIoUkVM
